respondent_id,submitted,Tutorial Class,Degree,Programming Experience,Experience in Python,Used Jupyter Notebooks,Other Programming Languages Competency,SQL Competency,Relational Databases Competency
49,2019-03-06 05:37:01 UTC,[Friday 4-6 SIT Lab 115] (https://web.timetable.usyd.edu.au/examVenueDetails.jsp?venueAlias=J12.115),"Data Science, second year",2,Competent Python programmer (familiar with eg. functions and classes),No,"C,Java,Javascript/ECMAScript,R",Written some SQL queries already.,Microsoft SQL Server
50,2019-03-06 05:36:50 UTC,Data 2001,Advanced Computing Second Year,1,Competent Python programmer (familiar with eg. functions and classes),No,Java,"Heard of it, but never used it.",
51,2019-03-06 05:35:00 UTC,,,,,,,,
52,2019-03-06 05:28:40 UTC,,,0.5,Basic understanding,Yes,R,"Heard of it, but never used it.",Microsoft Access
53,2019-03-06 05:11:02 UTC,F14B,Bachelor of Advanced Computing 2nd year,2,Competent Python programmer (familiar with eg. functions and classes),No,Java,Written some SQL queries already.,Microsoft Access
54,2019-03-06 05:02:56 UTC,yes,"first year of USYD, third year of undergraduate",3,Basic understanding,No,"C,C++,Java","Heard of it, but never used it.","Microsoft Access,Microsoft SQL Server,MySQL,SQLite,Sybase"
55,2019-03-06 04:16:58 UTC,SIT Lab 115 10:00am-12:00pm,Bachelor of Commerce and Bachelor of Advanced Studies Year 2,1,Competent Python programmer (familiar with eg. functions and classes),Yes,Other (answer below in comment),"Heard of it, but never used it.",Oracle
56,2019-03-06 04:06:06 UTC,F08A,"B Adv. Computing, 2nd year",7,Competent Python programmer (familiar with eg. functions and classes),No,Java,"Heard of it, but never used it.",
57,2019-03-06 03:00:42 UTC,"F08A, SIT 115, 8-10am",Bachelor of Science. Year 2,0.5,Basic understanding,No,,Never heard of SQL.,
58,2019-03-06 02:57:17 UTC,F10A,Bachelor of Commerce and Advanced Studies - Second Year,1,Competent Python programmer (familiar with eg. functions and classes),Yes,"Java,R",Never heard of SQL.,
59,2019-03-06 02:33:18 UTC,Friday 8a.m. to 10a.m.,"Undergraduate. First year, second semester.",0.5,Competent Python programmer (familiar with eg. functions and classes),No,Java,"Heard of it, but never used it.","Microsoft Access,Microsoft SQL Server"
60,2019-03-06 00:47:03 UTC,Fri 8am-10am,"Bachelor of Science, 2nd year",1,Written some simple Python programs,No,"C,Java,Javascript/ECMAScript",Can already create tables and write complex SQL queries.,PostgreSQL
61,2019-03-06 00:42:58 UTC,Friday 8-10 am SIT Lab 114,"Advanced Computing, second year ",1,Written some simple Python programs,No,"C++,Java","Heard of it, but never used it.",
62,2019-03-06 00:40:41 UTC,Friday 8:00AM (DATA2901),"Science/AdvancedStudies, 2nd Year.",1,Written some simple Python programs,Yes,R,"Heard of it, but never used it.",
63,2019-03-06 00:37:47 UTC,Friday 8:00 AM (Advanced),Bachelor of Science/Bachelor of Advanced Studies (Advanced),3,Written some simple Python programs,Yes,"Javascript/ECMAScript,R",Written some SQL queries already.,PostgreSQL
64,2019-03-06 00:35:48 UTC,Friday 8am,"Second Year, Bachelor of Science (with Dalyell Scholars), majoring in Mathematics and Data Science.",2,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R",Can already create tables and write complex SQL queries.,PostgreSQL
65,2019-03-06 00:24:38 UTC,Yes,"Major in Computer science, minor in data analytics. 1st year sem 2",0.5,Written some simple Python programs,Yes,"Java,R","Heard of it, but never used it.",Oracle
66,2019-03-06 00:24:33 UTC,Friday 10am Madsen 226,"Bachelor Science, (Computer Science, Data Science) 2nd Year",7,Have written complex Python programs already.,Yes,"C#,Java,R,Visual Basic",Can already create tables and write complex SQL queries.,"Microsoft Access,Microsoft SQL Server,MySQL,SQLite"
67,2019-03-06 00:16:46 UTC,,,5,Have written complex Python programs already.,No,"C,C++,Java","Heard of it, but never used it.",Microsoft Access
68,2019-03-06 00:10:58 UTC,F10A,Advanced Computing / Commerce,1,Competent Python programmer (familiar with eg. functions and classes),No,Java,Can interpret some SQL statements.,SQLite
69,2019-03-06 00:02:33 UTC,Fridays 12pm in SIT 115,"Bachelor of Science (Major Maths and Data Science), 2nd year",1,Written some simple Python programs,Yes,"C++,Matlab,R",Written some SQL queries already.,MySQL
70,2019-03-06 00:02:19 UTC,Friday: 10am - 12 noon,"1st year, Advanced Computing",1,Basic understanding,Yes,"C,Java",Written some SQL queries already.,SQLite
71,2019-03-06 00:00:52 UTC,10am - 12pm Friday,B Sci - 2nd Year,2,Written some simple Python programs,Yes,R,"Heard of it, but never used it.",
72,2019-03-05 23:53:41 UTC,Friday 1600,"Advanced Computing, year 2",3,Competent Python programmer (familiar with eg. functions and classes),Yes,"C,Java,R",Can already create tables and write complex SQL queries.,"MySQL,SQLite"
73,2019-03-05 23:52:46 UTC,SIT Lab 114,B of science,1,Basic understanding,Yes,R,Never heard of SQL.,
74,2019-03-05 23:37:26 UTC,Friday 12-2 lab 114,Advanced Computing and medical science/ Year 2,1,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R","Heard of it, but never used it.",
75,2019-03-05 23:26:59 UTC,Friday 8am,"Data Science, 3rd Year",5,Have written complex Python programs already.,Yes,"C,Java,Javascript/ECMAScript,R",Can interpret some SQL statements.,MySQL
76,2019-03-05 23:25:44 UTC,Friday 4-6,,1,Competent Python programmer (familiar with eg. functions and classes),Yes,"Java,R","Heard of it, but never used it.",
77,2019-03-05 23:25:20 UTC,SIT 115,data science 2nd year,1,Competent Python programmer (familiar with eg. functions and classes),No,"C++,Java,Matlab,R",Never heard of SQL.,Oracle
78,2019-03-05 23:23:22 UTC,Friday 10am to 12pm SIT 115,"Advanced Computing, year 2",1,Competent Python programmer (familiar with eg. functions and classes),Yes,"R,Other (answer below in comment)",Can already create tables and write complex SQL queries.,"Microsoft SQL Server,PostgreSQL,Other (answer as comment below)"
79,2019-03-05 23:22:59 UTC,"DATA2901 Laboratory, Friday 10 a.m. to 12 p.m.","Advanced Computing, 2nd Year",6,Have written complex Python programs already.,No,"Java,Other (answer below in comment)",Can interpret some SQL statements.,
80,2019-03-05 23:22:12 UTC,Sit115,Bachelor of science,1,Written some simple Python programs,No,Java,Can interpret some SQL statements.,"Microsoft SQL Server,SQLite"
81,2019-03-05 23:19:25 UTC,Friday 10-12,Year 2 in Biomedical Engineering major in IT,1,Written some simple Python programs,No,"Matlab,R",Never heard of SQL.,
82,2019-03-05 23:13:03 UTC,F10A,Bachelor of advanced computing,1,Competent Python programmer (familiar with eg. functions and classes),No,"C,Java","Heard of it, but never used it.","Oracle,SQLite"
83,2019-03-05 23:12:08 UTC,"Friday 12pm-2pm, SIT 114",2nd year bachelor of advanced computing. Majoring in Data Science,1.5,Competent Python programmer (familiar with eg. functions and classes),No,"Java,R",Can interpret some SQL statements.,
84,2019-03-05 23:11:10 UTC,friday 10 a.m.,B of science,1,Written some simple Python programs,No,R,"Heard of it, but never used it.",MySQL
85,2019-03-05 23:11:10 UTC,Friday 10-12pm SIT130A,"Bachelor of Science (Adv) / Bachelor of Advanced Studies, 3rd year",1,Basic understanding,No,"Java,Matlab,R",Written some SQL queries already.,"MySQL,PostgreSQL"
86,2019-03-05 23:10:26 UTC,,,,Competent Python programmer (familiar with eg. functions and classes),Yes,"Java,Javascript/ECMAScript,Matlab,R","Heard of it, but never used it.",Microsoft Access
87,2019-03-05 23:08:48 UTC,data2901,,1,Competent Python programmer (familiar with eg. functions and classes),Yes,"C,Java,R","Heard of it, but never used it.",
88,2019-03-05 23:08:36 UTC,Friday 10am Madsen Computer Lab 226,"Advanced Computing, year 2",1.5,Have written complex Python programs already.,No,Java,Written some SQL queries already.,"Microsoft Access,Microsoft SQL Server,MongoDB,PostgreSQL,SQLite"
89,2019-03-05 23:05:52 UTC,F10B,"2nd year, Bachelor of Science",1,Competent Python programmer (familiar with eg. functions and classes),Yes,Java,Written some SQL queries already.,
90,2019-03-05 22:31:39 UTC,F14A,Bachelor of advanced computing,2,Written some simple Python programs,No,Java,Written some SQL queries already.,MySQL
91,2019-03-05 22:30:00 UTC,F08A,3rd year in computer science,2,Written some simple Python programs,No,"C,Java,Javascript/ECMAScript",Can already create tables and write complex SQL queries.,"PostgreSQL,SQLite"
92,2019-03-05 22:21:57 UTC,F08A,bachelor of biomedical engineering honour 3rd year,1,Competent Python programmer (familiar with eg. functions and classes),Yes,"Matlab,R","Heard of it, but never used it.",Other (answer as comment below)
93,2019-03-05 22:12:59 UTC,FRIDAY 10am - 12 am SIT 115,Project Management software,2,None,No,"Java,Matlab,R",Can interpret some SQL statements.,PostgreSQL
94,2019-03-05 22:12:37 UTC,"Friday, 10-12, SIT lab 115","Bachelor of Advanced Computing, year 2",1,Have written complex Python programs already.,No,"Java,Matlab,R","Heard of it, but never used it.",
95,2019-03-05 21:53:51 UTC,F08A (advanced),"B Commerce/B Advanced Studies, 2nd year first semester",4,Have written complex Python programs already.,Yes,"Javascript/ECMAScript,R",Written some SQL queries already.,PostgreSQL
96,2019-03-05 21:15:54 UTC,Friday 4pm-6pm in SIT lab 115,"Bachelor of Science (Computer Science), currently in 2nd year.",2,Competent Python programmer (familiar with eg. functions and classes),Yes,Java,Can already create tables and write complex SQL queries.,PostgreSQL
97,2019-03-05 19:58:54 UTC,Friday 8am,"BSc (Physiology), sorta 3rd year (66th year studying part time)",1,Competent Python programmer (familiar with eg. functions and classes),Yes,,Can interpret some SQL statements.,
98,2019-03-05 15:41:05 UTC,"Friday, 4pm SIT Lab 115.",Computer Science and Technology (3 yr FTE),3,Competent Python programmer (familiar with eg. functions and classes),No,"C,Java,Visual Basic,Other (answer below in comment)",Written some SQL queries already.,PostgreSQL
